id,name,name_en,country,province,longitude,latitude,timezone,population,capital
255,斋浦尔,Jaipur,India,Rājasthān,75.82,26.915,Asia/Kolkata,3073350,admin
256,布达佩斯,Budapest,Hungary,Budapest,19.0408,47.4983,Europe/Budapest,3067751,primary
257,忻州,Xinzhou,China,山西,112.7233,38.4178,Asia/Shanghai,3067501,minor
258,兰州,Lanzhou,China,甘肃,103.8318,36.0617,Asia/Shanghai,3067142,admin
259,圣迭戈,San Diego,United States,California,-117.1222,32.8313,America/New_York,3064435,
260,瓦加杜古,Ouagadougou,Burkina Faso,Centre,-1.5275,12.3686,UTC,3063271,primary
261,梧州,Wuzhou,China,广西,111.3167,23.4833,Asia/Shanghai,3061100,minor
262,雅典,Athens,Greece,Attikí,23.7281,37.9842,Europe/Athens,3059764,primary
263,仁川,Incheon,"Korea, South",Incheon,126.6486,37.4639,Asia/Seoul,3049315,admin
264,朝阳,Chaoyang,China,辽宁,120.4486,41.5757,Asia/Shanghai,3044641,
265,淮南,Huainan,China,安徽,117.0164,32.4831,Asia/Shanghai,3033528,
266,阿尔及尔,Algiers,Algeria,Alger,3.0586,36.7764,Africa/Algiers,3004000,primary
267,韶关,Shaoguan,China,广东,113.5927,24.8011,Asia/Shanghai,2997600,minor
268,巴西利亚,Brasilia,Brazil,Distrito Federal,-47.8828,-15.7939,America/Sao_Paulo,2996899,primary
269,Kuwait City,Kuwait City,Kuwait,Al ‘Āşimah,47.98,29.375,Asia/Kuwait,2989000,primary
270,日照,Rizhao,China,山东,119.4331,35.4164,Asia/Shanghai,2968365,minor
271,Tampa,Tampa,United States,Florida,-82.4447,27.9945,America/New_York,2957531,
272,Sanaa,Sanaa,Yemen,Amānat al ‘Āşimah,44.2,15.35,Asia/Aden,2957000,primary
273,塔什干,Tashkent,Uzbekistan,Toshkent,69.2797,41.3111,Asia/Tashkent,2956384,primary
274,基辅,Kyiv,Ukraine,"Kyiv, Misto",30.5236,50.45,Europe/Kyiv,2952301,primary
275,Kottarassheri,Kottarassheri,India,Kerala,76.5333,10.6167,Asia/Kolkata,2952254,
276,Minneapolis,Minneapolis,United States,Minnesota,-93.2678,44.9635,America/New_York,2937866,
277,卡利,Cali,Colombia,Valle del Cauca,-76.5197,3.44,America/Bogota,2916790,admin
